NAME,Population,FIPS
"Randolph County, Arkansas",17603,05121
"St. Francis County, Arkansas",26294,05123
"Saline County, Arkansas",118009,05125
"Scott County, Arkansas",10442,05127
"Searcy County, Arkansas",7923,05129
"Sebastian County, Arkansas",127461,05131
"Sevier County, Arkansas",17193,05133
"Sharp County, Arkansas",17043,05135
"Stone County, Arkansas",12446,05137
"Union County, Arkansas",39732,05139
"Van Buren County, Arkansas",16684,05141
"Washington County, Arkansas",228529,05143
"White County, Arkansas",78804,05145
"Woodruff County, Arkansas",6660,05147
"Yell County, Arkansas",21573,05149
"Alameda County, California",1643700,06001
"Amador County, California",37829,06005
"Butte County, California",227075,06007
"Calaveras County, California",45235,06009
"Colusa County, California",21464,06011
"Contra Costa County, California",1133247,06013
"Del Norte County, California",27424,06015
"El Dorado County, California",186661,06017
"Fresno County, California",978130,06019
"Glenn County, California",27897,06021
"Humboldt County, California",135768,06023
"Imperial County, California",180216,06025
"Inyo County, California",18085,06027
"Kern County, California",883053,06029
"Kings County, California",150075,06031
"Lake County, California",64148,06033
"Lassen County, California",31185,06035
"Los Angeles County, California",10098052,06037
"Madera County, California",155013,06039
"Marin County, California",260295,06041
"Mariposa County, California",17540,06043
"Mendocino County, California",87422,06045
"Merced County, California",269075,06047
"Modoc County, California",8938,06049
"Mono County, California",14174,06051
"Monterey County, California",433212,06053
"Napa County, California",140530,06055
"Nevada County, California",99092,06057
"Orange County, California",3164182,06059
"Placer County, California",380077,06061
"Plumas County, California",18699,06063
"Riverside County, California",2383286,06065
"Sacramento County, California",1510023,06067
"San Benito County, California",59416,06069
"San Bernardino County, California",2135413,06071
"San Diego County, California",3302833,06073
"San Francisco County, California",870044,06075
"San Joaquin County, California",732212,06077
"San Luis Obispo County, California",281455,06079
"San Mateo County, California",765935,06081
"Santa Barbara County, California",443738,06083
"Santa Clara County, California",1922200,06085
"Santa Cruz County, California",273765,06087
"Shasta County, California",179085,06089
"Siskiyou County, California",43540,06093
"Solano County, California",438530,06095
"Sonoma County, California",501317,06097
"Stanislaus County, California",539301,06099
"Sutter County, California",95872,06101
"Tehama County, California",63373,06103
"Trinity County, California",12862,06105
"Tulare County, California",460477,06107
"Tuolumne County, California",53932,06109
"Ventura County, California",848112,06111
"Yolo County, California",214977,06113
"Yuba County, California",75493,06115
"Adams County, Colorado",497115,08001
"Alamosa County, Colorado",16444,08003
"Arapahoe County, Colorado",636671,08005
"Archuleta County, Colorado",12908,08007
"Baca County, Colorado",3563,08009
"Bent County, Colorado",5809,08011
"Boulder County, Colorado",321030,08013
"Broomfield County, Colorado",66120,08014
"Chaffee County, Colorado",19164,08015
"Clear Creek County, Colorado",9379,08019
"Conejos County, Colorado",8142,08021
"Costilla County, Colorado",3687,08023
"Crowley County, Colorado",5630,08025
"Custer County, Colorado",4640,08027
"Delta County, Colorado",30346,08029
"Denver County, Colorado",693417,08031
"Douglas County, Colorado",328614,08035
"Eagle County, Colorado",54357,08037
"Elbert County, Colorado",25162,08039
"El Paso County, Colorado",688153,08041
"Fremont County, Colorado",47002,08043
"Garfield County, Colorado",58538,08045
