Unnamed: 0,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
116,2020-03-14,1100,143,115.0,1,0,0.0
117,2020-03-13,957,149,101.0,1,0,0.0
118,2020-03-12,808,156,85.0,1,0,0.0
119,2020-03-11,652,131,68.0,1,0,0.0
120,2020-03-10,521,95,52.0,1,1,0.0
121,2020-03-09,426,87,40.0,0,0,0.0
122,2020-03-08,339,46,30.0,0,0,0.0
123,2020-03-07,293,41,27.0,0,0,0.0
124,2020-03-06,252,42,,0,0,
125,2020-03-05,210,33,,0,0,
126,2020-03-04,177,18,,0,0,
127,2020-03-03,159,13,,0,0,
128,2020-03-02,146,18,,0,0,
129,2020-03-01,128,25,,0,0,
